"number","title","pageid","namespace","length","touched"
"134","Tim_Lewens","28460239","","6783","20200204231751"
"135","John_W._N._Watkins","30968221","","11586","20200210205225"
"136","Milič_Čapek","33237673","","7943","20200209121346"
"137","Noretta_Koertge","33604395","","3693","20200202060856"
"138","Simon_Saunders","35527251","","14219","20200204232135"
"139","Victor_Kanke","35538916","","6625","20200204232135"
"140","Claudine_Tiercelin","36721857","","7578","20200204232218"
"141","Tim_Maudlin","37708243","","15598","20200204232247"
"142","Alisa_Bokulich","38320311","","5131","20200204232306"
"143","Alan_Code","38484997","","3503","20200204232311"
"144","Étienne_Klein","40153962","","8300","20200204232406"
"145","Carla_Fehr","40345527","","6043","20200202063007"
"146","Michael_Tooley","40491796","","3979","20200202063037"
"147","Miriam_Solomon","40550052","","9642","20200210210454"
"148","Sean_Dorrance_Kelly","41858659","","4407","20200204232504"
"149","Gary_Gutting","43233986","","6514","20200210224505"
"150","Arturo_Carsetti","44040304","","25258","20200211031307"
"151","Marc_Ereshefsky","44330251","","1908","20200204232637"
"152","Bradley_Dowden","44969725","","2835","20200204232701"
"153","Maarten_Boudry","45112946","","21902","20200204232704"
"154","Michael_Redhead","48817359","","2657","20200204232855"
"155","Silvio_Funtowicz","50651755","","14955","20200204232956"
"156","Roger_Gibson","51146521","","23812","20200204233017"
"157","Lisa_Bortolotti","51346063","","18326","20200210211625"
"158","Tamara_Horowitz","51354078","","9339","20200204233027"
"159","Rachel_Cooper_(philosopher)","51435243","","7029","20200204233030"
"160","Edward_J._Hall","52743551","","2856","20200204233117"
"161","Bartosz_Brożek","53802559","","5962","20200204233157"
"162","Timothy_Shanahan","55526562","","3389","20200204233303"
"163","Michael_Weisberg","56531711","","3774","20200204233348"
"164","Menachem_Fisch","57563191","","4504","20200204035704"
"165","Eric_Winsberg","57625500","","6784","20200204233428"
"166","Ingo_Brigandt","59102147","","3026","20200210212336"
"167","Richard_Creath","59853126","","1669","20200210212435"
"168","Charlotte_Werndl","60631092","","3042","20200210212537"
"169","Margaret_Schabas","61419163","","6146","20200211003903"
"170","Hilary_Greaves","61742412","","5611","20200204233649"
"171","Nathan_Cofnas","62980770","","5474","20200210212929"
